ticker,cik,metric,fy,form,fp,filed,value,unit,tag_used,source,carry_from_fy,accn,start,end
NVDA,0001045810,SellingGeneralAndAdministrativeExpense,2014,10-Q,Q1,2014-05-21,108626000,USD,SellingGeneralAndAdministrativeExpense,primary,,0001045810-14-000085,2013-01-28,2013-04-28
NVDA,0001045810,Assets,2014,10-Q,Q1,2014-05-21,7250894000,USD,Assets,primary,,0001045810-14-000085,,2014-01-26
NVDA,0001045810,Liabilities,2014,10-Q,Q3,2016-11-22,2814000000,USD,Liabilities,carried,2017,0001045810-16-000353,,2016-01-31
NVDA,0001045810,StockholdersEquity,2014,10-Q,Q1,2014-05-21,4456398000,USD,StockholdersEquity,primary,,0001045810-14-000085,,2014-01-26
NVDA,0001045810,CashAndCashEquivalentsAtCarryingValue,2014,10-Q,Q1,2014-05-21,732786000,USD,CashAndCashEquivalentsAtCarryingValue,primary,,0001045810-14-000085,,2013-01-27
NVDA,0001045810,NetCashProvidedByUsedInOperatingActivities,2014,10-Q,Q1,2014-05-21,175650000,USD,NetCashProvidedByUsedInOperatingActivities,primary,,0001045810-14-000085,2013-01-28,2013-04-28
NVDA,0001045810,PaymentsToAcquirePropertyPlantAndEquipment,2014,10-Q,Q1,2014-05-21,65667000,USD,PaymentsToAcquirePropertyPlantAndEquipment,primary,,0001045810-14-000085,2013-01-28,2013-04-28
NVDA,0001045810,LongTermDebt,2014,10-Q,Q1,2014-05-21,1356375000,USD,LongTermDebt,primary,,0001045810-14-000085,,2014-01-26
NVDA,0001045810,CostOfRevenue,2014,10-Q,Q1,2014-05-21,436171000,USD,CostOfRevenue,primary,,0001045810-14-000085,2013-01-28,2013-04-28
NVDA,0001045810,OperatingExpenses,2014,10-Q,Q1,2014-05-21,435787000,USD,OperatingExpenses,primary,,0001045810-14-000085,2013-01-28,2013-04-28
NVDA,0001045810,IncomeTaxExpenseBenefit,2014,10-Q,Q1,2014-05-21,10171000,USD,IncomeTaxExpenseBenefit,primary,,0001045810-14-000085,2013-01-28,2013-04-28
