ticker,cik,fy,form,metric,tag_used,value,unit,filed,fp,start,end,source
NVDA,0001045810,2019,10-K,LongTermDebt,LongTermDebt,1985000000.0,USD,2019-02-21,FY,,2018-01-28,primary
NVDA,0001045810,2019,10-K,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,1672000000.0,USD,2019-02-21,FY,2016-02-01,2017-01-29,primary
NVDA,0001045810,2019,10-K,NetIncomeLoss,NetIncomeLoss,1666000000.0,USD,2019-02-21,FY,2016-02-01,2017-01-29,primary
NVDA,0001045810,2019,10-K,OperatingExpenses,OperatingExpenses,2129000000.0,USD,2019-02-21,FY,2016-02-01,2017-01-29,primary
NVDA,0001045810,2019,10-K,OperatingIncomeLoss,OperatingIncomeLoss,1934000000.0,USD,2019-02-21,FY,2016-02-01,2017-01-29,primary
NVDA,0001045810,2019,10-K,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,1463000000.0,USD,2019-02-21,FY,2016-02-01,2017-01-29,primary
NVDA,0001045810,2019,10-K,SellingGeneralAndAdministrativeExpense,SellingGeneralAndAdministrativeExpense,663000000.0,USD,2019-02-21,FY,2016-02-01,2017-01-29,primary
NVDA,0001045810,2019,10-K,StockholdersEquity,StockholdersEquity,4469000000.0,USD,2019-02-21,FY,,2016-01-31,primary
NVDA,0001045810,2019,10-Q,AccountsReceivableNetCurrent,AccountsReceivableNetCurrent,1265000000.0,USD,2018-11-15,Q3,,2018-01-28,primary
NVDA,0001045810,2019,10-Q,Assets,Assets,11241000000.0,USD,2018-11-15,Q3,,2018-01-28,primary
NVDA,0001045810,2019,10-Q,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,1766000000.0,USD,2018-11-15,Q3,,2017-01-29,primary
NVDA,0001045810,2019,10-Q,CostOfRevenue,CostOfRevenue,2782000000.0,USD,2018-11-15,Q3,2017-01-30,2017-10-29,primary
NVDA,0001045810,2019,10-Q,EarningsPerShareBasic,EarningsPerShareBasic,3.23,USD/shares,2018-11-15,Q3,2017-01-30,2017-10-29,primary
NVDA,0001045810,2019,10-Q,EarningsPerShareDiluted,EarningsPerShareDiluted,3.05,USD/shares,2018-11-15,Q3,2017-01-30,2017-10-29,primary
NVDA,0001045810,2019,10-Q,GrossProfit,GrossProfit,4021000000.0,USD,2018-11-15,Q3,2017-01-30,2017-10-29,primary
NVDA,0001045810,2019,10-Q,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,189000000.0,USD,2018-11-15,Q3,2017-01-30,2017-10-29,primary
NVDA,0001045810,2019,10-Q,Liabilities,Liabilities,3770000000.0,USD,2018-11-15,Q3,,2018-01-28,primary
NVDA,0001045810,2019,10-Q,LongTermDebt,LongTermDebt,1985000000.0,USD,2018-11-15,Q3,,2018-01-28,primary
NVDA,0001045810,2019,10-Q,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,2144000000.0,USD,2018-11-15,Q3,2017-01-30,2017-10-29,primary
NVDA,0001045810,2019,10-Q,NetIncomeLoss,NetIncomeLoss,1928000000.0,USD,2018-11-15,Q3,2017-01-30,2017-10-29,primary
NVDA,0001045810,2019,10-Q,OperatingExpenses,OperatingExpenses,1884000000.0,USD,2018-11-15,Q3,2017-01-30,2017-10-29,primary
NVDA,0001045810,2019,10-Q,OperatingIncomeLoss,OperatingIncomeLoss,2137000000.0,USD,2018-11-15,Q3,2017-01-30,2017-10-29,primary
NVDA,0001045810,2019,10-Q,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,177000000.0,USD,2018-11-15,Q3,2017-01-30,2017-10-29,primary
NVDA,0001045810,2019,10-Q,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,1290000000.0,USD,2018-11-15,Q3,2017-01-30,2017-10-29,primary
NVDA,0001045810,2019,10-Q,Revenues,Revenues,6803000000.0,USD,2018-11-15,Q3,2017-01-30,2017-10-29,primary
NVDA,0001045810,2019,10-Q,SellingGeneralAndAdministrativeExpense,SellingGeneralAndAdministrativeExpense,594000000.0,USD,2018-11-15,Q3,2017-01-30,2017-10-29,primary
NVDA,0001045810,2019,10-Q,StockholdersEquity,StockholdersEquity,7471000000.0,USD,2018-11-15,Q3,,2018-01-28,primary
NVDA,0001045810,2020,10-K,AccountsReceivableNetCurrent,AccountsReceivableNetCurrent,1424000000.0,USD,2020-02-20,FY,,2019-01-27,primary
NVDA,0001045810,2020,10-K,Assets,Assets,13292000000.0,USD,2020-02-20,FY,,2019-01-27,primary
NVDA,0001045810,2020,10-K,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,782000000.0,USD,2020-02-20,FY,,2019-01-27,primary
NVDA,0001045810,2020,10-K,EarningsPerShareBasic,EarningsPerShareBasic,5.09,USD/shares,2020-02-20,FY,2017-01-30,2018-01-28,primary
NVDA,0001045810,2020,10-K,EarningsPerShareDiluted,EarningsPerShareDiluted,4.82,USD/shares,2020-02-20,FY,2017-01-30,2018-01-28,primary
